"seed","learner","failed","raw_mse","norm_mse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","topk_overlap","topk_lift","iteration","treatment_rate","n_treated_train","n_treated_test","sg1_n","sg2_n","sg3_n","true_ate","tau_sd"
88,"skern",FALSE,5.417769,1.147211,0.692858,-0.3182,0.6577,-0.4838,6.5566,7.2866,0.8998,3.9936,4.3211,0.9242,0.3275,TRUE,FALSE,0.125,1.608,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"tlasso",FALSE,2.698778,0.571466,0.817354,-0.3454,0.6577,-0.5251,7.9024,7.2866,1.0845,2.311,4.3211,0.5348,2.0101,TRUE,FALSE,0.5,2.1476,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"tboost",FALSE,49.21296,10.420833,-0.346053,11.3619,0.6577,17.2744,6.5833,7.2866,0.9035,5.1665,4.3211,1.1956,0.8454,FALSE,TRUE,0,0.6262,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"tkern",FALSE,9.82859,2.081202,0.447164,2.6829,0.6577,4.0791,6.6903,7.2866,0.9182,4.1642,4.3211,0.9637,0.1569,TRUE,FALSE,0,1.1125,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"xlasso",FALSE,1.225296,0.259456,0.877773,0.156,0.6577,0.2372,6.7878,7.2866,0.9315,3.1496,4.3211,0.7289,1.1714,TRUE,FALSE,0.625,2.137,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"xboost",FALSE,5.737093,1.214828,0.251943,4.3648,0.6577,6.6361,5.4993,7.2866,0.7547,4.1753,4.3211,0.9663,0.1458,FALSE,FALSE,0.25,1.8371,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"xkern",FALSE,10.923467,2.313042,0.394418,3.0088,0.6577,4.5746,7.0043,7.2866,0.9613,3.8386,4.3211,0.8884,0.4824,TRUE,FALSE,0.25,1.9447,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"zero_pred",FALSE,15.277029,3.234908,NA,0,0.6577,0,0,7.2866,0,0,4.3211,0,4.3211,FALSE,FALSE,0.25,1.2671,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"const_pred",FALSE,124.727981,26.411122,NA,14.2129,0.6577,21.6089,14.2129,7.2866,1.9506,14.2129,4.3211,3.2892,9.8918,FALSE,TRUE,0.25,1.2671,47,0.058,22,7,10,7,9,3.2189,2.2306
88,"ols_inter",FALSE,3.206289,0.678931,0.907649,-2.2083,0.6577,-3.3575,8.1446,7.2866,1.1178,2.432,4.3211,0.5628,1.889,TRUE,FALSE,0.625,2.148,47,0.058,22,7,10,7,9,3.2189,2.2306
89,"rlasso",FALSE,5.486086,1.047141,0.677536,3.828,0.6138,6.2365,6.2069,7.5086,0.8266,5.1152,5.9313,0.8624,0.8161,TRUE,FALSE,0.5,1.9742,48,0.052,23,3,16,8,13,3.208,2.2515
89,"rboost",FALSE,50.266337,9.594449,0.359578,9.9971,0.6138,16.287,10.0196,7.5086,1.3344,10.0202,5.9313,1.6894,4.089,FALSE,TRUE,0,1.4604,48,0.052,23,3,16,8,13,3.208,2.2515
89,"rkern",FALSE,1.899752,0.36261,0.885146,0.8384,0.6138,1.3658,7.6791,7.5086,1.0227,6.2553,5.9313,1.0546,0.3241,TRUE,FALSE,0.875,2.2737,48,0.052,23,3,16,8,13,3.208,2.2515
89,"slasso",FALSE,3.472751,0.662852,0.894362,-1.7309,0.6138,-2.8199,8.6784,7.5086,1.1558,6.718,5.9313,1.1326,0.7867,TRUE,TRUE,0.875,2.3398,48,0.052,23,3,16,8,13,3.208,2.2515
89,"sboost",FALSE,45.413291,8.668137,-0.747443,10.1306,0.6138,16.5045,2.9816,7.5086,0.3971,4.2171,5.9313,0.711,1.7142,FALSE,FALSE,0,0.6756,48,0.052,23,3,16,8,13,3.208,2.2515
89,"skern",FALSE,4.298226,0.820412,0.789658,-1.022,0.6138,-1.6651,7.0731,7.5086,0.942,6.8065,5.9313,1.1476,0.8753,TRUE,TRUE,0.5,2.0535,48,0.052,23,3,16,8,13,3.208,2.2515
89,"tlasso",FALSE,6.902015,1.317403,0.881308,-3.0889,0.6138,-5.0323,9.1099,7.5086,1.2133,7.0708,5.9313,1.1921,1.1395,TRUE,TRUE,0.875,2.3398,48,0.052,23,3,16,8,13,3.208,2.2515
89,"tboost",FALSE,167.218266,31.917326,-0.860026,20.2365,0.6138,32.9686,6.4393,7.5086,0.8576,6.7471,5.9313,1.1375,0.8158,FALSE,TRUE,0,0.1519,48,0.052,23,3,16,8,13,3.208,2.2515
89,"tkern",FALSE,5.757918,1.099027,0.823802,-2.4053,0.6138,-3.9186,6.924,7.5086,0.9221,7.0307,5.9313,1.1854,1.0994,FALSE,TRUE,0.375,2.0427,48,0.052,23,3,16,8,13,3.208,2.2515
89,"xlasso",FALSE,3.501483,0.668336,0.890969,-1.651,0.6138,-2.6898,8.6893,7.5086,1.1572,6.767,5.9313,1.1409,0.8357,TRUE,TRUE,0.875,2.3398,48,0.052,23,3,16,8,13,3.208,2.2515
89,"xboost",FALSE,17.744261,3.386887,-0.006184,6.9073,0.6138,11.2531,6.9972,7.5086,0.9319,6.4915,5.9313,1.0945,0.5602,FALSE,FALSE,0,1.2265,48,0.052,23,3,16,8,13,3.208,2.2515
89,"xkern",FALSE,2.618931,0.499881,0.912588,2.555,0.6138,4.1624,7.3641,7.5086,0.9807,6.447,5.9313,1.0869,0.5157,TRUE,FALSE,0.875,2.3451,48,0.052,23,3,16,8,13,3.208,2.2515
89,"zero_pred",FALSE,16.024029,3.058543,NA,0,0.6138,0,0,7.5086,0,0,5.9313,0,5.9313,FALSE,FALSE,0,1.0208,48,0.052,23,3,16,8,13,3.208,2.2515
89,"const_pred",FALSE,135.702326,25.901808,NA,14.7164,0.6138,23.9753,14.7164,7.5086,1.9599,14.7164,5.9313,2.4812,8.7851,FALSE,TRUE,0,1.0208,48,0.052,23,3,16,8,13,3.208,2.2515
