"learner","n_valid","n_failed","iqr_mean","iqr_sd","iqr_ci_lo","iqr_ci_hi","spread_sd_mean","bias_mean","bias_sd","mse_median","rmse_median","rmse_mean","rmse_sd","pass_cal_rate","fp_sg1_rate","fp_sg2_rate","fp_sg3_rate"
"rlasso",200,0,0.1263,0.2026,0.0982,0.1544,0.0859,0.0054,0.1529,0.0502,0.16628227976155,0.182075115915167,0.130907970145889,0.71,0.585,0.615,0.595
"rboost",200,0,0.2419,0.2124,0.2124,0.2713,0.158,0.1321,0.1674,0.0896,0.265047014562953,0.264841003266781,0.139722420400081,0.465,0.67,0.675,0.675
"rkern",200,0,0.1972,0.2319,0.1651,0.2293,0.1758,0.0277,0.1591,0.0898,0.230651150024181,0.249482960634672,0.166465631242257,0.63,0.575,0.58,0.585
"slasso",200,0,0.1803,0.2003,0.1526,0.2081,0.1224,0.0378,0.1498,0.0577,0.178605491600627,0.204576049912316,0.126374452773663,0.6,0.57,0.59,0.6
"sboost",200,0,0.3936,0.1263,0.3761,0.4112,0.2857,0.0087,0.1416,0.1085,0.310159195566358,0.315351494944672,0.0955146579619516,0.025,0.63,0.565,0.62
"skern",200,0,0.2017,0.1599,0.1795,0.2238,0.1495,0.0202,0.1222,0.0511,0.159686887252546,0.191587082606879,0.120202466459302,0.615,0.495,0.44,0.495
"tlasso",200,0,0.3679,0.1578,0.3461,0.3898,0.2552,0.0328,0.1499,0.0993,0.289826251305485,0.295785792102722,0.108763101516197,0.14,0.675,0.735,0.715
"tboost",200,0,0.567,0.1522,0.5459,0.5881,0.4094,0.0205,0.1781,0.2087,0.439260561944723,0.442749977597002,0.11280328115374,0,0.67,0.685,0.74
"tkern",200,0,0.3828,0.1733,0.3587,0.4068,0.2825,0.0397,0.1521,0.1191,0.301081281298107,0.321986386162862,0.124619086456797,0.155,0.68,0.7,0.7
"xlasso",200,0,0.2178,0.1653,0.1949,0.2407,0.1541,0.0198,0.1508,0.0592,0.199497956544263,0.215568765465219,0.113142003342718,0.565,0.595,0.605,0.605
"xboost",200,0,0.3144,0.1338,0.2959,0.333,0.2169,0.1395,0.157,0.0974,0.292230980771762,0.2991286339343,0.089229309697795,0.195,0.675,0.755,0.68
"xkern",200,0,0.2251,0.1663,0.2021,0.2481,0.176,0.0245,0.1524,0.068,0.204326372390295,0.230429496810278,0.122309217655003,0.535,0.6,0.56,0.62
"const_pred",200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"zero_pred",200,0,0,0,0,0,0,-0.01,0,1e-04,0.01,0.01,0,1,0,0,0
"ols_inter",200,0,0.4624,0.161,0.44,0.4847,0.3243,0.0086,0.1555,0.1395,0.349856850977931,0.357497105337209,0.108629283721867,0.035,0.67,0.66,0.74
