"learner","metric","value","metric_group","base_method","meta_type"
"rboost","bias_sq",1.491916,"other","boost","R-learner"
"rboost","variance",11.093814,"other","boost","R-learner"
"rboost","norm_bias_sq",0.10014,"bias_variance","boost","R-learner"
"rboost","norm_variance",0.75012,"bias_variance","boost","R-learner"
"rkern","mse_median",5.068732,"MSE","kernel","R-learner"
"rkern","mse_p10",1.914181,"MSE","kernel","R-learner"
"rkern","mse_p25",2.939851,"MSE","kernel","R-learner"
"rkern","mse_p75",8.803939,"MSE","kernel","R-learner"
"rkern","mse_p90",13.211094,"MSE","kernel","R-learner"
"rkern","mse_mean",32.517362,"MSE","kernel","R-learner"
"rkern","nmse_median",0.34485,"nMSE","kernel","R-learner"
"rkern","nmse_p10",0.13164,"nMSE","kernel","R-learner"
"rkern","nmse_p25",0.200725,"nMSE","kernel","R-learner"
"rkern","nmse_p75",0.572275,"nMSE","kernel","R-learner"
"rkern","nmse_p90",0.87662,"nMSE","kernel","R-learner"
"rkern","nmse_mean",1.961935,"nMSE","kernel","R-learner"
"rkern","pct_beats_zero",0.929348,"vs_zero_pred","kernel","R-learner"
"rkern","pct_worse_zero",0.070652,"vs_zero_pred","kernel","R-learner"
"rkern","rank_corr_mean",0.842064,"rank_correlation","kernel","R-learner"
"rkern","rank_corr_sd",0.153042,"rank_correlation","kernel","R-learner"
"rkern","rank_corr_p10",0.67321,"rank_correlation","kernel","R-learner"
"rkern","rank_corr_p50",0.88475,"rank_correlation","kernel","R-learner"
"rkern","rank_corr_p90",0.96126,"rank_correlation","kernel","R-learner"
"rkern","sign_sg1_rate",0.98913,"sign_recovery","kernel","R-learner"
"rkern","sign_sg2_rate",0.875,"sign_recovery","kernel","R-learner"
"rkern","sign_both_rate",0.86413,"sign_recovery","kernel","R-learner"
"rkern","sign_sg2_ate_q1",0.956522,"sign_recovery","kernel","R-learner"
"rkern","sign_sg2_ate_q4",0.73913,"sign_recovery","kernel","R-learner"
"rkern","rec_sg1_p10",0.34011,"recovery_ratio_sg1","kernel","R-learner"
"rkern","rec_sg1_p25",0.543125,"recovery_ratio_sg1","kernel","R-learner"
"rkern","rec_sg1_p50",0.7825,"recovery_ratio_sg1","kernel","R-learner"
"rkern","rec_sg1_p75",1.022475,"recovery_ratio_sg1","kernel","R-learner"
"rkern","rec_sg1_p90",1.26895,"recovery_ratio_sg1","kernel","R-learner"
"rkern","rec_sg2_p10",-0.04615,"recovery_ratio_sg2","kernel","R-learner"
"rkern","rec_sg2_p25",0.280575,"recovery_ratio_sg2","kernel","R-learner"
"rkern","rec_sg2_p50",0.67725,"recovery_ratio_sg2","kernel","R-learner"
"rkern","rec_sg2_p75",1.033325,"recovery_ratio_sg2","kernel","R-learner"
"rkern","rec_sg2_p90",1.48107,"recovery_ratio_sg2","kernel","R-learner"
"rkern","ate_bias_mean",0.122651,"ate_bias","kernel","R-learner"
"rkern","ate_bias_sd",2.143488,"ate_bias","kernel","R-learner"
"rkern","bias_sq",4.584615,"other","kernel","R-learner"
"rkern","variance",27.932747,"other","kernel","R-learner"
"rkern","norm_bias_sq",0.307727,"bias_variance","kernel","R-learner"
"rkern","norm_variance",1.654208,"bias_variance","kernel","R-learner"
"rlasso","mse_median",5.173834,"MSE","lasso","R-learner"
"rlasso","mse_p10",2.262089,"MSE","lasso","R-learner"
"rlasso","mse_p25",3.612136,"MSE","lasso","R-learner"
"rlasso","mse_p75",8.433706,"MSE","lasso","R-learner"
"rlasso","mse_p90",12.091918,"MSE","lasso","R-learner"
"rlasso","mse_mean",6.328552,"MSE","lasso","R-learner"
"rlasso","nmse_median",0.35835,"nMSE","lasso","R-learner"
"rlasso","nmse_p10",0.14477,"nMSE","lasso","R-learner"
"rlasso","nmse_p25",0.232275,"nMSE","lasso","R-learner"
"rlasso","nmse_p75",0.563625,"nMSE","lasso","R-learner"
"rlasso","nmse_p90",0.81889,"nMSE","lasso","R-learner"
"rlasso","nmse_mean",0.42311,"nMSE","lasso","R-learner"
"rlasso","pct_beats_zero",0.983696,"vs_zero_pred","lasso","R-learner"
"rlasso","pct_worse_zero",0.016304,"vs_zero_pred","lasso","R-learner"
"rlasso","rank_corr_mean",0.845849,"rank_correlation","lasso","R-learner"
"rlasso","rank_corr_sd",0.099389,"rank_correlation","lasso","R-learner"
"rlasso","rank_corr_p10",0.70637,"rank_correlation","lasso","R-learner"
"rlasso","rank_corr_p50",0.87025,"rank_correlation","lasso","R-learner"
"rlasso","rank_corr_p90",0.9632,"rank_correlation","lasso","R-learner"
"rlasso","sign_sg1_rate",0.994565,"sign_recovery","lasso","R-learner"
"rlasso","sign_sg2_rate",0.86413,"sign_recovery","lasso","R-learner"
"rlasso","sign_both_rate",0.858696,"sign_recovery","lasso","R-learner"
"rlasso","sign_sg2_ate_q1",0.934783,"sign_recovery","lasso","R-learner"
"rlasso","sign_sg2_ate_q4",0.76087,"sign_recovery","lasso","R-learner"
"rlasso","rec_sg1_p10",0.25564,"recovery_ratio_sg1","lasso","R-learner"
"rlasso","rec_sg1_p25",0.529425,"recovery_ratio_sg1","lasso","R-learner"
"rlasso","rec_sg1_p50",0.7815,"recovery_ratio_sg1","lasso","R-learner"
"rlasso","rec_sg1_p75",1.02565,"recovery_ratio_sg1","lasso","R-learner"
"rlasso","rec_sg1_p90",1.25726,"recovery_ratio_sg1","lasso","R-learner"
"rlasso","rec_sg2_p10",-0.0784,"recovery_ratio_sg2","lasso","R-learner"
"rlasso","rec_sg2_p25",0.344025,"recovery_ratio_sg2","lasso","R-learner"
"rlasso","rec_sg2_p50",0.76245,"recovery_ratio_sg2","lasso","R-learner"
"rlasso","rec_sg2_p75",1.10615,"recovery_ratio_sg2","lasso","R-learner"
"rlasso","rec_sg2_p90",1.57916,"recovery_ratio_sg2","lasso","R-learner"
"rlasso","ate_bias_mean",0.052909,"ate_bias","lasso","R-learner"
"rlasso","ate_bias_sd",1.091929,"ate_bias","lasso","R-learner"
"rlasso","bias_sq",1.188628,"other","lasso","R-learner"
"rlasso","variance",5.139924,"other","lasso","R-learner"
"rlasso","norm_bias_sq",0.079783,"bias_variance","lasso","R-learner"
"rlasso","norm_variance",0.343327,"bias_variance","lasso","R-learner"
"sboost","mse_median",11.828965,"MSE","boost","S-learner"
"sboost","mse_p10",8.189344,"MSE","boost","S-learner"
"sboost","mse_p25",9.668642,"MSE","boost","S-learner"
"sboost","mse_p75",14.997638,"MSE","boost","S-learner"
"sboost","mse_p90",18.179204,"MSE","boost","S-learner"
"sboost","mse_mean",12.788905,"MSE","boost","S-learner"
"sboost","nmse_median",0.80035,"nMSE","boost","S-learner"
"sboost","nmse_p10",0.53939,"nMSE","boost","S-learner"
"sboost","nmse_p25",0.673525,"nMSE","boost","S-learner"
"sboost","nmse_p75",1.0224,"nMSE","boost","S-learner"
"sboost","nmse_p90",1.23246,"nMSE","boost","S-learner"
"sboost","nmse_mean",0.865715,"nMSE","boost","S-learner"
"sboost","pct_beats_zero",0.76087,"vs_zero_pred","boost","S-learner"
"sboost","pct_worse_zero",0.23913,"vs_zero_pred","boost","S-learner"
"sboost","rank_corr_mean",0.565553,"rank_correlation","boost","S-learner"
"sboost","rank_corr_sd",0.162276,"rank_correlation","boost","S-learner"
"sboost","rank_corr_p10",0.33705,"rank_correlation","boost","S-learner"
"sboost","rank_corr_p50",0.5917,"rank_correlation","boost","S-learner"
"sboost","rank_corr_p90",0.73952,"rank_correlation","boost","S-learner"
"sboost","sign_sg1_rate",0.923913,"sign_recovery","boost","S-learner"
"sboost","sign_sg2_rate",0.826087,"sign_recovery","boost","S-learner"
"sboost","sign_both_rate",0.755435,"sign_recovery","boost","S-learner"
