"learner","failed","norm_mse","rank_corr","est_sg1","true_sg1","rec_sg1","est_sg2","true_sg2","rec_sg2","est_sg3","true_sg3","rec_sg3","dev_sg3","correct_order","sg3_inflated","n","n_train","n_test","n_treated_train","n_treated_test","true_ate","tau_sd","sg1_n","sg2_n","sg3_n"
"xkern",FALSE,0.526,0.7192,1.842,0.575,3.202,5.647,6.94,0.814,3.202,5.348,0.599,2.145,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"rkern",FALSE,0.608,0.6891,1.659,0.575,2.883,5.994,6.94,0.864,3.17,5.348,0.593,2.178,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"rboost",FALSE,0.7342,0.6933,2.771,0.575,4.815,3.906,6.94,0.563,3.576,5.348,0.669,1.772,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"tkern",FALSE,0.9363,0.6594,1.459,0.575,2.534,7.193,6.94,1.036,2.948,5.348,0.551,2.4,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"skern",FALSE,0.9483,0.6314,1.382,0.575,2.402,6.855,6.94,0.988,2.839,5.348,0.531,2.508,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"xlasso",FALSE,1.0015,0.693,1.015,0.575,1.763,7.437,6.94,1.072,3.654,5.348,0.683,1.693,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"rlasso",FALSE,1.4746,0.2319,3.548,0.575,6.165,5.444,6.94,0.784,2.962,5.348,0.554,2.386,FALSE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"slasso",FALSE,1.4997,0.6127,1.348,0.575,2.343,7.75,6.94,1.117,3.51,5.348,0.656,1.838,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"ols_inter",FALSE,1.5454,0.6764,0.13,0.575,0.227,8.358,6.94,1.204,3.384,5.348,0.633,1.963,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"tlasso",FALSE,2.1745,0.5297,1.757,0.575,3.053,8.241,6.94,1.187,3.31,5.348,0.619,2.038,TRUE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"zero_pred",FALSE,3.4047,NA,0,0.575,0,0,6.94,0,0,5.348,0,5.348,FALSE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"sboost",FALSE,6.7503,-0.4327,6.624,0.575,11.51,3.853,6.94,0.555,2.638,5.348,0.493,2.71,FALSE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"tboost",FALSE,12.9969,-0.5308,9.368,0.575,16.279,1.05,6.94,0.151,3.047,5.348,0.57,2.301,FALSE,FALSE,500,400,100,24,5,3.2032,2.2377,14,7,12
"xboost",FALSE,20.6222,-0.9038,13.345,0.575,23.189,10.836,6.94,1.561,9.352,5.348,1.749,4.004,FALSE,TRUE,500,400,100,24,5,3.2032,2.2377,14,7,12
"const_pred",FALSE,47.2774,NA,17.934,0.575,31.162,17.934,6.94,2.584,17.934,5.348,3.354,12.586,FALSE,TRUE,500,400,100,24,5,3.2032,2.2377,14,7,12
